Name,Act Effort,Est Effort,Est Dur,EA-RTFP,IMT,IAT,IT,OMT ,OAT ,OT,ER,EA,ERA,UA-RTFP
1,670,691.0,9.5,27.0,0,0,0,3.125,4.0,8,7,12,19,15.0
2,912,849.375,12.0,21.0,0,0,0,1.0,3.0,4,8,9,17,12.0
3,218,274.0,9.0,58.5,1,2,3,3.125,5.625,10,9,12,21,26.25
4,595,479.0,7.0,10.0,2,8,10,0.0,0.0,0,0,0,0,10.0
5,267,308.0,6.0,10.0,2,8,10,0.0,0.0,0,0,0,0,10.0
6,344,301.0,11.0,13.0,1,1,2,1.0,2.0,3,4,4,8,9.0
7,229,234.0,3.4,8.0,1,5,6,0.0,0.0,0,1,1,2,7.0
8,190,171.0,2.0,29.0,2,10,12,2.0,2.0,4,4,9,13,20.0
9,869,333.0,5.0,49.0,2,2,4,3.125,5.625,10,6,12,18,26.25
10,109,159.0,5.2,2.0,1,1,2,0.0,0.0,0,0,0,0,2.0
11,289,238.0,6.0,4.0,3,3,4,0.0,0.0,0,0,0,0,4.0
12,616,373.0,4.7,6.0,2,4,6,0.0,0.0,0,0,0,0,6.0
13,557,308.0,5.2,3.0,1,2,3,0.0,0.0,0,0,0,0,3.0
14,416,558.0,17.1875,6.0,0,0,0,0.0,0.0,0,2,4,6,2.0
15,578,849.375,17.1875,7.0,0,0,0,0.0,0.0,0,3,4,7,3.0
16,438,423.0,5.0,27.0,0,0,0,1.0,2.0,3,9,15,24,12.0
