id,Project,Client.code,Project.type,Actual.duration,Actual.effort,Adjusted.function.points,First.estimate,First.estimate.method,Estimated.day
1,1,2,1.5,107.0,485.0,101.65,495.0,5,126
2,2,2,3.0,144.0,990.0,57.12,1365.0,1,64
3,3,2,3.0,446.125,6180.75,1010.88,5895.125,5,486
4,4,2,4.0,226.0,1576.0,45.6,1595.0,4,256
5,5,2,3.0,326.0,3826.0,1022.58,3828.0,1,346
6,6,2,4.0,294.0,1079.0,77.04,879.0,5,240
7,7,2,1.5,212.0,2224.0,159.6,2895.0,5,226
8,8,2,2.0,175.0,1698.0,225.54,1800.0,1,165
9,9,2,5.0,446.125,1173.0,144.72,1160.0,5,316
10,2,3.0,171.0,1401.0,84.42,885.0,5,134
11,11,2,3.0,201.0,2170.0,126.42,2125.0,5,186
12,12,2,3.0,195.0,1122.0,392.16,1381.0,5,161
13,13,2,5.5,109.0,1024.0,18.9,1142.0,4,106
14,14,2,4.0,263.0,1832.0,112.14,1895.0,5,282
15,15,2,1.5,165.0,1016.0,210.08,1339.0,5,247
16,16,2,3.0,46.0,322.0,260.95,447.0,5,130
17,17,2,3.0,186.0,580.0,609.7,507.0,5,56
19,19,2,4.0,95.0,380.0,56.0,380.0,5,95
20,20,2,4.0,53.0,220.0,30.0,220.0,5,53
21,21,2,4.0,365.0,2356.0,241.86,2879.0,5,437
22,22,2,4.0,438.0,1388.0,219.88,1483.0,5,438
23,23,2,4.0,109.0,1066.0,229.71,1667.0,5,109
24,24,2,3.0,283.0,2860.0,458.38,2125.0,1,271
25,25,2,4.0,137.0,1143.0,177.63,1175.0,1,151
26,26,2,4.0,102.0,1431.0,287.64,2213.0,1,116
27,27,2,4.0,103.0,1868.0,343.54,2247.0,1,116
28,28,2,4.0,192.0,2172.0,346.8,1926.0,1,122
29,29,2,3.0,219.0,6180.75,1121.48,5641.0,5,139
30,30,2,4.0,446.125,5927.0,761.08,3928.0,5,287
31,31,2,4.0,173.0,2663.0,464.0,1995.0,1,128
32,32,2,4.0,169.0,1425.0,203.01,2281.0,5,19
33,33,2,4.0,207.0,3504.0,550.14,3305.0,5,152
34,34,2,4.0,61.0,652.0,86.45,797.0,5,86
35,35,2,4.0,311.0,6180.75,1336.2737500000003,3922.0,1,226
36,36,2,4.0,418.0,5927.0,681.0,5895.125,1,271
37,37,2,4.0,410.0,6180.75,485.1,4955.0,1,331
38,38,2,3.534090909090909,446.125,2591.0,172.96,1294.0,5,497
39,39,2,4.0,259.0,4494.0,1336.2737500000003,5688.0,5,276
40,40,2,3.0,234.0,4824.0,756.25,5245.0,5,249
41,41,2,3.534090909090909,446.125,5094.0,789.66,3930.0,5,403
42,42,2,4.0,291.0,3088.0,357.0,2562.0,5,165
43,43,2,4.0,116.0,892.0,62.08,1526.0,2,129
44,44,2,4.0,128.0,750.0,157.56,1018.0,5,128
45,45,2,3.0,185.0,5646.0,322.62,5646.0,3,199
46,46,2,4.0,207.0,1532.0,81.34,1532.0,5,270
47,47,2,4.0,151.0,1280.0,191.0,1532.0,5,151
48,48,2,4.0,99.0,313.0,121.52,314.0,5,127
49,49,2,4.0,61.0,339.0,222.78,412.0,1,61
50,50,2,4.0,101.0,583.0,113.52,738.0,5,86
51,51,2,3.534090909090909,446.125,726.0,15.36,763.0,5,475
52,52,2,4.0,133.0,1939.0,320.12,1750.0,1,122
53,53,2,4.0,106.0,669.0,84.28,682.0,1,106
55,55,2,4.0,239.0,4115.0,616.32,3573.0,5,104
56,56,2,4.0,330.0,4009.0,515.07,2913.0,1,280
57,57,2,4.0,37.0,630.0,88.2,701.0,5,50
58,58,2,4.0,187.0,718.0,115.14,725.0,1,203
59,59,2,4.0,329.0,1584.0,63.84,1826.0,1,196
60,60,2,4.0,120.0,5816.0,1015.98,5000.0,5,179
61,61,2,4.0,85.0,2037.0,359.64,2640.0,1,98
62,62,2,4.0,49.0,1428.0,240.84,2534.0,1,56
63,63,2,4.0,152.0,1252.0,285.12,2231.0,1,152
64,64,2,4.0,47.0,655.0,61.2,1000.0,5,47
65,65,2,3.534090909090909,148.0,1318.0,287.28,1645.0,4,148
66,66,2,3.0,141.0,995.0,172.0,1067.0,5,113
67,67,2,3.0,235.0,2265.0,144.06,2270.0,5,249
68,68,2,3.0,298.0,654.0,108.64,656.0,5,305
69,69,2,3.534090909090909,99.0,718.0,165.36,121.0,1,99
70,70,2,4.0,127.0,2029.0,680.9,1685.0,5,71
71,71,2,3.0,163.0,1650.0,409.4,2350.0,5,163
72,72,2,3.0,316.0,2223.0,313.95,2308.0,5,281
73,73,2,3.0,388.0,6180.75,1136.34,5895.125,1,318
74,74,2,4.0,152.0,1884.0,177.0,2004.0,5,166
75,75,2,3.0,166.0,5359.0,746.24,3715.0,6,46
76,76,2,4.0,114.0,1159.0,274.92,1273.0,1,128
77,77,2,4.0,82.0,437.0,43.5,437.0,1,117
78,78,2,3.0,123.0,570.0,54.75,813.0,5,141
79,79,2,4.0,49.0,502.0,130.0,900.0,5,57
80,80,2,4.0,183.0,1877.0,525.96,2475.0,1,196
81,81,2,4.0,149.0,1693.0,311.85,799.0,1,64
82,82,2,3.534090909090909,370.0,3319.0,1185.08,2160.0,5,160
83,83,2,3.0,128.0,1557.0,258.24,1770.0,5,128
